code,symbol,name,industry
500259,LYKALABS,Lyka Labs Ltd,
500260,RAMCOCEM,The Ramco Cements Ltd,
500262,HYBRIDFIN,Hybrid Financial Services Ltd,
500264,MAFATIND,Mafatlal Industries Ltd-$,
500265,MAHSEAMLES,Maharashtra Seamless Ltd,
500266,MAHSCOOTER,Maharashtra Scooters Ltd,
500267,MAJESAUT,Majestic Auto Ltd-$,
500268,MANALIPETC,Manali Petrochemicals Ltd,
500270,BARODARY,Baroda Rayon Corporation Ltd,
500271,MFSL,Max Financial Services Ltd,
500277,MIDINDIA,Mid India Industries Ltd,
500279,ONIDA,Onida Electronics Ltd,
500280,CENTENKA,Century Enka Ltd,
500282,MODTHREAD,Modern Thread India Ltd,
500284,LORDSCHLO,Lords Chloro Alkali Ltd,
500285,SPICEJET,Spicejet Ltd,
500288,MOREPENLAB,Morepen Laboratories Ltd,
500290,MRF,MRF Ltd,
500292,HEIDELBERG,HeidelbergCement India Ltd,
500294,NCC,NCC Ltd,
500295,VEDL,Vedanta Ltd,
500296,NAHARSPING,Nahar Spinning Mills Ltd,
500298,NAPEROL,Naperol Investments Ltd,
500300,GRASIM,Grasim Industries Ltd,
500304,NIITLTD,NIIT Ltd,
500306,JAYKAY,Jaykay Enterprises Ltd,
500307,NIRLON,Nirlon Ltd,
500312,ONGC,Oil and Natural Gas Corporation Ltd,
500313,OILCOUNTUB,Oil Country Tubular Ltd,
500314,ORIENTHOT,Oriental Hotels Ltd,
500317,OSWALAGRO,Oswal Agro Mills Ltd,
500319,INDSUCR,Indian Sucrose Ltd,
500322,PANCM,Panyam Cements & Mineral Industries Ltd,
500325,RELIANCE,Reliance Industries Ltd,
500327,PILITA,Pil Italica Lifestyle Ltd,
500330,RAYMOND,Raymond Ltd,
500331,PIDILITIND,Pidilite Industries Ltd,
500333,PIXTRANS,Pix Transmissions Ltd,
500335,BIRLACORPN,Birla Corporation Ltd,
500336,SURYAROSNI,Surya Roshni Ltd,
500337,PRIMESECU,Prime Securities Ltd,
500338,PRSMJOHNSN,Prism Johnson Ltd,
500339,RAIN,Rain Industries Ltd,
500342,PRUDMOULI,Prudential Sugar Corporation Ltd,
500343,AMJLAND,AMJ Land Holdings Ltd,
500346,PUNJCOMMU,Punjab Communications Ltd-$,
500350,RSWM,RSWM Ltd,
500354,RAJSREESUG,Rajshree Sugars & Chemicals Ltd,
500355,RALLIS,Rallis India Ltd,
500356,RAMANEWS,Shree Rama Newsprint Ltd,
500357,RAMAPPR-B,Rama Paper Mills Ltd,
500360,RAPICUT,Rapicut Carbides Ltd,
500365,WELSPLSOL,Welspun Specialty Solutions Ltd,
500367,RUBFILA,Rubfila International Ltd,
500368,PATANJALI,Patanjali Foods Ltd,
500370,SALORAINTL,Salora International Ltd,
500371,SAMTELIN,Samtel India Ltd-$,
500378,JINDALSAW,Jindal Saw Ltd,
500380,JKLAKSHMI,JK Lakshmi Cement Ltd,
500387,SHREECEM,Shree Cement Ltd,
500388,SKPMIL,Shree Krishna Paper Mills & Industries Ltd,
500400,TATAPOWER,Tata Power Company Ltd,
500402,SPMLINFRA,SPML Infra Ltd,
500403,SUNDRMFAST,Sundram Fasteners Ltd,
500404,SUNFLAG,Sunflag Iron & Steel Company Ltd,
500405,SPLPETRO,Supreme Petrochem Ltd,
